,period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
87,2022-02,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),27.6,%
88,2022-01,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),4.47,$/MCF
89,2022-01,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),5.1,$/MCF
90,2022-01,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),,$/MCF
91,2022-01,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),9.29,$/MCF
92,2022-01,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),5.12,$/MCF
93,2022-01,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),,%
94,2022-01,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),27.1,%
95,2022-01,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),79.4,%
96,2021-12,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.9,%
97,2021-12,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),72.3,%
98,2021-12,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),29.8,%
99,2021-12,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),19.1,$/MCF
100,2021-12,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.24,$/MCF
101,2021-12,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),4.28,$/MCF
102,2021-12,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),7.11,$/MCF
103,2021-12,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),5.69,$/MCF
104,2021-11,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),5.33,$/MCF
105,2021-11,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),6.33,$/MCF
106,2021-11,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),6.66,$/MCF
107,2021-11,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.54,$/MCF
108,2021-11,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),30.7,%
109,2021-11,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),16.16,$/MCF
110,2021-11,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.7,%
111,2021-11,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),69.1,%
112,2021-10,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),6.76,$/MCF
113,2021-10,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),6.24,$/MCF
114,2021-10,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),61.7,%
115,2021-10,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.8,%
116,2021-10,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.96,$/MCF
117,2021-10,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),23.29,$/MCF
118,2021-10,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),32.7,%
119,2021-10,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),5.46,$/MCF
120,2021-09,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),99.2,%
121,2021-09,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),5.47,$/MCF
122,2021-09,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),24.87,$/MCF
123,2021-09,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),5.06,$/MCF
124,2021-09,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),4.91,$/MCF
125,2021-09,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),31.7,%
126,2021-09,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.19,$/MCF
127,2021-09,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),61.7,%
128,2021-08,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),4.4,$/MCF
129,2021-08,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),9.8,$/MCF
130,2021-08,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),4.49,$/MCF
131,2021-08,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),31.2,%
132,2021-08,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),4.21,$/MCF
133,2021-08,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),61.6,%
134,2021-08,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),98.3,%
135,2021-08,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),24.58,$/MCF
136,2021-07,STX,TEXAS,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020TX3,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),9.22,$/MCF
137,2021-07,STX,TEXAS,EPG0,Natural Gas,PRS,Price Delivered to Residential Consumers,N3010TX3,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),22.56,$/MCF
138,2021-07,STX,TEXAS,EPG0,Natural Gas,PEU,Electric Power Price,N3045TX3,Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),3.97,$/MCF
139,2021-07,STX,TEXAS,EPG0,Natural Gas,PIN,Industrial Price,N3035TX3,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),4.13,$/MCF
140,2021-07,STX,TEXAS,EPG0,Natural Gas,VFA,% of Industrial Consumers - Sales,N3035TX4,Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),32.0,%
141,2021-07,STX,TEXAS,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020TX4,Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),62.7,%
142,2021-07,STX,TEXAS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_STX_4,Texas Natural Gas % of Total Residential - Sales (%),98.9,%
143,2021-07,STX,TEXAS,EPG0,Natural Gas,PG1,City Gate Price,N3050TX3,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),4.29,$/MCF
