,period,stateId,producertypeid,energysourceid,capability,capability-units
324,2005,TX,IPP,ALL,77013,megawatts
325,2005,TX,IPP,WOO,130,megawatts
326,2005,TX,IPP,WND,1753,megawatts
327,2005,TX,IPP,PET,209,megawatts
328,2005,TX,IPP,OOG,237,megawatts
329,2005,TX,IPP,OBM,57,megawatts
330,2005,TX,IPP,OT,258,megawatts
331,2005,TX,IPP,NUC,4860,megawatts
332,2005,TX,IPP,NG,58300,megawatts
333,2005,TX,IPP,HYC,7,megawatts
334,2005,TX,IPP,COL,11204,megawatts
335,2005,TX,EU,ALL,24033,megawatts
336,2005,TX,EU,WND,1,megawatts
337,2005,TX,EU,PET,13,megawatts
338,2005,TX,EU,OT,39,megawatts
339,2005,TX,EU,NG,14329,megawatts
340,2005,TX,EU,HYC,666,megawatts
341,2005,TX,EU,COL,8984,megawatts
342,2004,TX,TOT,ALL,100618,megawatts
343,2004,TX,TOT,WOO,100,megawatts
344,2004,TX,TOT,WND,1286,megawatts
345,2004,TX,TOT,PET,231,megawatts
346,2004,TX,TOT,OOG,359,megawatts
347,2004,TX,TOT,OBM,47,megawatts
348,2004,TX,TOT,OT,136,megawatts
349,2004,TX,TOT,NUC,4860,megawatts
350,2004,TX,TOT,NG,72730,megawatts
351,2004,TX,TOT,HYC,668,megawatts
352,2004,TX,TOT,COL,20201,megawatts
353,2004,TX,IPP,ALL,77031,megawatts
354,2004,TX,IPP,WOO,100,megawatts
355,2004,TX,IPP,WND,1284,megawatts
356,2004,TX,IPP,PET,217,megawatts
357,2004,TX,IPP,OOG,359,megawatts
358,2004,TX,IPP,OBM,47,megawatts
359,2004,TX,IPP,OT,123,megawatts
360,2004,TX,IPP,NUC,4860,megawatts
361,2004,TX,IPP,NG,58842,megawatts
362,2004,TX,IPP,HYC,7,megawatts
363,2004,TX,IPP,COL,11191,megawatts
364,2004,TX,EU,ALL,23587,megawatts
365,2004,TX,EU,WND,1,megawatts
366,2004,TX,EU,PET,13,megawatts
367,2004,TX,EU,OT,13,megawatts
368,2004,TX,EU,NG,13889,megawatts
369,2004,TX,EU,HYC,661,megawatts
370,2004,TX,EU,COL,9010,megawatts
371,2003,TX,TOT,ALL,97570,megawatts
372,2003,TX,TOT,WOO,100,megawatts
373,2003,TX,TOT,WND,1245,megawatts
374,2003,TX,TOT,PET,790,megawatts
375,2003,TX,TOT,OOG,289,megawatts
376,2003,TX,TOT,OBM,48,megawatts
377,2003,TX,TOT,OT,102,megawatts
378,2003,TX,TOT,NUC,4768,megawatts
379,2003,TX,TOT,NG,69476,megawatts
380,2003,TX,TOT,HYC,699,megawatts
381,2003,TX,TOT,COL,20053,megawatts
382,2003,TX,IPP,ALL,74941,megawatts
383,2003,TX,IPP,WOO,100,megawatts
384,2003,TX,IPP,WND,1244,megawatts
385,2003,TX,IPP,PET,785,megawatts
386,2003,TX,IPP,OOG,289,megawatts
387,2003,TX,IPP,OBM,48,megawatts
388,2003,TX,IPP,OT,89,megawatts
